Customer_Name,Email,Phone,Adresse,Age,Gender,Location,Customer_Segment,Category,Subcategory,Product,Price,Quantity,Weight,Date_Order,Tax_5_percent,Payement,Shipper,Shipping_Method,Shipping Costs,Inventory_id,StockLevel,Restock_Threshold,Last_Restock_Date,Warehouse_Name,Location_warehouse,Supplier_Name,Supplier_Phone,Location_Supplier,Quality_Score,rating_customer
Molly Luna,Molly_Luna@outlook.fr,+1-722-658-1118x2038,19763 Lisa Turnpike Suite 507,49,Male,Vanuatu,Silver,Food and Beverages,Organic Food,organic dairy products,61,2,1.804637670853763,2023-11-30,3.05,Ewallet,Hermés Internation,Sea,25.47,1,3998,150,2023-07-12,China WH,China,Gillespie LLC,(347)853-5640x559,Turkey,2.49,2
Nicole Colon,Nicole_Colon@maroc.ma,001-951-884-5267x946,669 Williams Ridges Suite 852,87,Female,Czech Republic,Gold,Pharmaceuticals,Herbal Medicines,Turmeric supplements,29,-2,1.9391879904754483,2023-11-27,1.45,Credit Card,United Parcel Service,Ground,17.93,2,4002,150,2023-07-12,China WH,China,Walsh Ltd,001-308-647-2046,Turkey,4.31,1
Madison Armstrong,Madison_Armstrong@gmail.com,227-581-9645,9013 Anderson Meadow,-62,Male,Antarctica (the territory South of 60 deg S),Gold,Food and Beverages,Organic Food,organic dairy products,61,-5,0.7733094778556279,2023-11-27,3.05,Ewallet,DHL,Air,41.84,1,4005,150,2023-07-12,Turkey WH,Turkey,Wilkins Inc,836-602-6802,Colombia,3.29,1
James Gutierrez,James_Gutierrez@maroc.ma,752.944.4742x7121,57992 Petersen Ferry,-20,Male,Venezuela,Gold,Pharmaceuticals,Biopharmaceuticals,Insulin,11,10,0.9527176346315122,2023-12-01,0.55,Credit Card,DHL,Ground,27.14,3,3990,150,2023-07-12,Turkey WH,Turkey,"Cooper, Murphy and Moore",806.645.2242,Colombia,1.54,2
Laurie Holmes,Laurie_Holmes@hotmail.com,977-265-7517x16514,4553 Hill Island,-68,Female,Haiti,Bronze,Energy,Biomass,Wood pellets,11,-9,1.9663877082588739,2023-12-02,0.55,Cash,GeoPost,Sea,16.01,4,4009,150,2023-07-12,Japan WH,Japan,Riley-Perez,505.465.3237,Colombia,3.44,2
Joe Roach,Joe_Roach@maroc.ma,(918)583-4038x975,6288 Rogers Via Apt. 653,29,Male,Dominican Republic,Gold,Energy,Biofuels,Biodiesel,5,-10,1.0319998187383688,2023-11-27,0.25,Ewallet,Hermés Internation,Ground,16.25,5,4010,150,2023-07-12,Turkey WH,Turkey,"Young, Martinez and Cain",(428)365-8277,Colombia,4.46,3
Kimberly Clayton,Kimberly_Clayton@yopmail.com,481.421.7572x6368,1751 Barbara Land,42,Female,Zambia,Silver,Pharmaceuticals,Biopharmaceuticals,Insulin,11,5,0.6280726378728676,2023-12-02,0.55,Credit Card,GeoPost,Ground,11.39,3,3995,150,2023-07-12,Turkey WH,Turkey,Hogan-Richardson,329-493-7505x9940,USA,4.93,3
Theodore Bryant,Theodore_Bryant@outlook.fr,603-435-0646x34057,10037 Thompson Ridges Suite 286,-21,Female,Netherlands Antilles,Silver,Agriculture,Biopesticides,Neem oil-based insecticides,71,-7,1.8353249653132624,2023-12-01,3.55,Ewallet,DHL,Ground,14.23,6,4007,150,2023-07-12,China WH,China,Gomez-Weaver,(238)337-1824,Colombia,2.54,2
Crystal Donovan,Crystal_Donovan@gmail.com,+1-835-642-3816x2273,249 Taylor Falls Apt. 001,-16,Male,Rwanda,Gold,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,-2,0.7402712798577044,2023-11-27,2.3,Cash,FedEx,Ground,46.29,7,4002,150,2023-07-12,China WH,China,Wilson PLC,839.586.4133x5340,Turkey,4.56,1
Heather Moss,Heather_Moss@youcode.ma,877-568-7201,10024 Wallace Mountains Suite 339,12,Male,New Zealand,Silver,Food and Beverages,Plant-Based Meat Alternatives,Seitan,16,10,0.2098871885347801,2023-12-02,0.8,Ewallet,GeoPost,Sea,19.31,8,3990,150,2023-07-12,Japan WH,Japan,"Henderson, Shaw and Bailey",(800)670-4713x76034,China,4.64,1
Scott Reilly,Scott_Reilly@hotmail.com,001-458-799-9047x39452,929 Kristopher Creek Suite 683,-7,Female,Yemen,Bronze,Agriculture,Biofertilizers,Mycorrhizal fungi products,75,5,0.1774812171020475,2023-11-30,3.75,Credit Card,United Parcel Service,Ground,28.82,9,3995,150,2023-07-12,Turkey WH,Turkey,Dawson-Payne,208-930-0918,USA,3.96,
Mark Alvarez,Mark_Alvarez@maroc.ma,621.696.6855x688,79008 Andre Street,41,Female,Ethiopia,Silver,Agriculture,Biofertilizers,Rhizobium-based fertilizers,80,6,0.9087069120776988,2023-12-01,4.0,Cash,Hermés Internation,Ground,16.1,10,3994,150,2023-07-12,China WH,China,Bailey and Sons,524.689.9751x2393,China,3.15,5
Timothy Terry,Timothy_Terry@outlook.fr,(530)674-6552,70610 Robert Lights,61,Male,Namibia,Silver,Pharmaceuticals,Biopharmaceuticals,Insulin,11,8,0.20583820595085373,2023-12-01,0.55,Credit Card,United Parcel Service,Air,7.59,3,3992,150,2023-07-12,Turkey WH,Turkey,Williams Ltd,+1-371-257-5471x965,France,2.88,
Alexandria Newman,Alexandria_Newman@youcode.ma,484.214.8918,019 Cherry Road,-70,Female,Netherlands Antilles,Bronze,Pharmaceuticals,Herbal Medicines,Echinacea extracts,46,2,0.2510697278265815,2023-11-27,2.3,Cash,FedEx,Sea,47.59,7,3998,150,2023-07-12,China WH,China,Williamson-Mosley,7222695287,France,4.98,3
Mary Hall,Mary_Hall@gmail.com,861.412.1499,506 Parker Islands,23,Female,Israel,Gold,Energy,Biofuels,Biodiesel,5,-3,1.7918736386000582,2023-11-30,0.25,Ewallet,United Parcel Service,Air,14.82,5,4003,150,2023-07-12,Japan WH,Japan,Parker-Hodges,449-274-4482,China,4.74,3
Jocelyn Ward,Jocelyn_Ward@youcode.ma,(720)631-7486x0512,2946 Stuart Walk Suite 106,-85,Male,Nicaragua,Gold,Pharmaceuticals,Biopharmaceuticals,Insulin,11,-5,0.28558963179339414,2023-12-03,0.55,Ewallet,Hermés Internation,Air,35.13,3,4005,150,2023-07-12,Turkey WH,Turkey,"Morgan, Duncan and Bradley",(703)427-8290,USA,1.91,2
Andrew Townsend,Andrew_Townsend@hotmail.com,406.251.1111x7340,25931 Reed Forges Apt. 438,22,Male,South Georgia and the South Sandwich Islands,Gold,Pharmaceuticals,Herbal Medicines,Turmeric supplements,29,4,0.43819200247167,2023-12-01,1.45,Cash,United Parcel Service,Ground,24.41,2,3996,150,2023-07-12,Japan WH,Japan,Flores-Smith,280.917.6791,France,4.53,
James Erickson,James_Erickson@youcode.ma,+1-696-492-6057x19945,365 Campbell Estate Apt. 894,-38,Female,Croatia,Silver,Agriculture,Biopesticides,Neem oil-based insecticides,71,-1,1.4074391811702978,2023-11-29,3.55,Cash,GeoPost,Ground,23.68,6,4001,150,2023-07-12,Japan WH,Japan,"Perry, Rogers and Hamilton",260-638-3272,France,2.85,2
Jennifer Collier,Jennifer_Collier@maroc.ma,(421)282-3701x9795,0652 Wade Burg Apt. 653,-31,Male,Saint Kitts and Nevis,Silver,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,-1,1.4298167288785815,2023-12-02,1.55,Ewallet,Hermés Internation,Air,8.57,11,4001,150,2023-07-12,Japan WH,Japan,Sutton Ltd,5335885893,China,2.12,5
Stacy Jones,Stacy_Jones@youcode.ma,796.799.8753,56097 Perry Spring Apt. 628,48,Female,Georgia,Gold,Energy,Biomass,Wood pellets,11,6,0.9637947522941746,2023-12-01,0.55,Credit Card,United Parcel Service,Sea,47.41,4,3994,150,2023-07-12,Turkey WH,Turkey,"Green, Bowers and Moyer",+1-261-377-5016x5130,Colombia,2.8,5
Matthew Marks,Matthew_Marks@outlook.fr,(906)858-3852x8232,945 Lisa Orchard Apt. 986,75,Female,Pakistan,Silver,Food and Beverages,Plant-Based Meat Alternatives,Tempeh,31,-6,0.9877690908187403,2023-12-02,1.55,Ewallet,DHL,Ground,22.53,11,4006,150,2023-07-12,Japan WH,Japan,"Lane, Vasquez and Medina",001-878-907-4284x7323,USA,2.38,5
David Pittman,David_Pittman@youcode.ma,+1-902-359-1881x7790,631 Daniel Forest Suite 639,85,Female,Guam,Silver,Agriculture,Biopesticides,Neem oil-based insecticides,71,-3,0.7984202950816989,2023-11-29,3.55,Ewallet,Hermés Internation,Air,27.23,6,4003,150,2023-07-12,Turkey WH,Turkey,Torres-Payne,550.564.1051x5207,France,5.0,
Aaron Smith,Aaron_Smith@maroc.ma,001-522-384-4151,96179 Myers Locks,89,Female,Ecuador,Silver,Food and Beverages,Organic Food,organic dairy products,61,10,1.8880758090549934,2023-11-29,3.05,Credit Card,FedEx,Ground,26.65,1,3990,150,2023-07-12,China WH,China,Santana-Boone,609-750-1998x612,China,1.02,1
Jacob Harris,Jacob_Harris@youcode.ma,+1-224-612-5194,1492 Garcia Expressway,84,Female,Kazakhstan,Gold,Energy,Biofuels,Ethanol,9,2,0.13081378287888668,2023-11-30,0.45,Ewallet,GeoPost,Ground,8.4,12,3998,150,2023-07-12,China WH,China,Clark PLC,(514)565-8923x02944,Turkey,4.37,4
Angela Parks,Angela_Parks@hotmail.com,841.876.2212,3047 Reid Streets,-84,Male,Guadeloupe,Bronze,Energy,Biomass,Crop residues for energy generation,12,6,0.4354237184069081,2023-11-29,0.6,Ewallet,Hermés Internation,Sea,24.28,13,3994,150,2023-07-12,Japan WH,Japan,"Martin, Reed and Roberts",+1-422-374-2035x48535,China,2.17,2
Corey Chen,Corey_Chen@youcode.ma,350-317-5034x771,64743 Christopher Village,-60,Male,Uruguay,Gold,Food and Beverages,Organic Food,Organic fruits and vegetables,36,-7,1.3700202681736287,2023-11-27,1.8,Cash,GeoPost,Sea,44.06,14,4007,150,2023-07-12,China WH,China,Anderson-Floyd,(595)618-3147x32382,Colombia,2.64,1
Lisa Wilson,Lisa_Wilson@yopmail.com,001-565-518-5826x21252,1123 Michael Spring Apt. 586,-81,Female,United States Virgin Islands,Bronze,Food and Beverages,Organic Food,Organic fruits and vegetables,36,9,0.9428641456086404,2023-11-28,1.8,Credit Card,FedEx,Air,49.29,14,3991,150,2023-07-12,Turkey WH,Turkey,Anderson-Morrison,724-297-8392x169,Colombia,4.69,1
Courtney Goodwin,Courtney_Goodwin@yopmail.com,(278)310-7568x44883,5507 Wilson Street Apt. 177,-62,Female,Belarus,Gold,Agriculture,Biopesticides,Neem oil-based insecticides,71,10,0.48016139534839053,2023-12-01,3.55,Ewallet,GeoPost,Air,29.51,6,3990,150,2023-07-12,Turkey WH,Turkey,Harris-Smith,5217941834,China,4.22,3
Brittany Wilson,Brittany_Wilson@hotmail.com,468.563.7801x9799,55348 Frank Circles Suite 261,72,Female,Austria,Bronze,Agriculture,Biofertilizers,Rhizobium-based fertilizers,80,8,1.9907744754268235,2023-11-30,4.0,Ewallet,United Parcel Service,Sea,24.84,10,3992,150,2023-07-12,Turkey WH,Turkey,Obrien Inc,+1-599-534-5350x6715,USA,4.89,3
Dana Garcia,Dana_Garcia@youcode.ma,725.918.8384,2080 Wright Spring,78,Male,Saint Barthelemy,Silver,Food and Beverages,Organic Food,Organic fruits and vegetables,36,0,1.9008709439050444,2023-12-02,1.8,Credit Card,DHL,Sea,32.84,14,4000,150,2023-07-12,China WH,China,"Flynn, Ross and Allison",001-646-217-0037x019,France,3.25,
Seth Anderson,Seth_Anderson@youcode.ma,(396)628-0583x305,97194 Stacey Mountain Suite 296,-25,Female,Mali,Silver,Pharmaceuticals,Biopharmaceuticals,Monoclonal antibodies,10,6,0.7402498738409394,2023-11-30,0.5,Cash,DHL,Ground,43.53,15,3994,150,2023-07-12,Turkey WH,Turkey,"Crawford, Marshall and Thompson",+1-526-598-4777x9441,Colombia,3.06,1
